tech,count,type
simpledb,154,NoSQL DBs
mongodb,34445,NoSQL DBs
marklogic,2515,NoSQL DBs
elasticsearch,15710,NoSQL DBs
couchbase,6173,NoSQL DBs
enterprise,27552,NoSQL DBs
neo4j,22069,NoSQL DBs
orientdb,8820,NoSQL DBs
tokumx,3500,NoSQL DBs
exist,809,NoSQL DBs
virtuoso,1529,NoSQL DBs
couchdb,8608,NoSQL DBs
dex,224,NoSQL DBs
cloudant,47,NoSQL DBs
jackrabbit,39,NoSQL DBs
djondb,411,NoSQL DBs
lotus,282,NoSQL DBs
allegrograph,1471,NoSQL DBs
db2,118,NoSQL DBs
graphdb,31,NoSQL DBs
infinitegraph,276,NoSQL DBs
owlim,41,NoSQL DBs
sedna,10,NoSQL DBs
corefoundation,9,NoSQL DBs
jquery,402638,JavaScript Frameworks
angularjs,36513,JavaScript Frameworks
bootstrap,49188,JavaScript Frameworks
raphael,2346,JavaScript Frameworks
ember.js,61082,JavaScript Frameworks
socket.io,10654,JavaScript Frameworks
mustache,6008,JavaScript Frameworks
three.js,1079,JavaScript Frameworks
prototype,48321,JavaScript Frameworks
modernizr,9403,JavaScript Frameworks
mootools,8298,JavaScript Frameworks
yui,30787,JavaScript Frameworks
alloyui,4000,JavaScript Frameworks
dojo,6532,JavaScript Frameworks
d3,2676,JavaScript Frameworks
jasmine,4284,JavaScript Frameworks
knockout,18008,JavaScript Frameworks
echo,3904,JavaScript Frameworks
qooxdoo,6717,JavaScript Frameworks
backbone.js,8622,JavaScript Frameworks
wakanda,350,JavaScript Frameworks
handlebars,2211,JavaScript Frameworks
qunit,1026,JavaScript Frameworks
enyo,3937,JavaScript Frameworks
glow,512,JavaScript Frameworks
underscore.js,880,JavaScript Frameworks
sproutcore,1098,JavaScript Frameworks
script.aculo.us,1128,JavaScript Frameworks
mochikit,304,JavaScript Frameworks
pdf.js,257,JavaScript Frameworks
processing.js,469,JavaScript Frameworks
easeljs,120,JavaScript Frameworks
cappuccino,341,JavaScript Frameworks
javascriptmvc,100,JavaScript Frameworks
webix,5,JavaScript Frameworks
ext.js,40,JavaScript Frameworks
kinetic.js,48,JavaScript Frameworks
smartclient,7,JavaScript Frameworks
rico,86,JavaScript Frameworks
midori,3,JavaScript Frameworks
jsphp,94,JavaScript Frameworks
joose,18,JavaScript Frameworks
infovis,20,JavaScript Frameworks
chaplin.js,21,JavaScript Frameworks
swfobject,13,JavaScript Frameworks
dhtmlx,12,JavaScript Frameworks
spring,64775,Java Technologies
j2ee,1894,Java Technologies
hibernate,19293,Java Technologies
jdbc,11710,Java Technologies
jsp,1132,Java Technologies
swing,4038,Java Technologies
jms,282,Java Technologies
jsf,1092,Java Technologies
javafx,2179,Java Technologies
j2me,3159,Java Technologies
jmx,2024,Java Technologies
jpa,865,Java Technologies
struts,390,Java Technologies
servlets,139,Java Technologies
ejb,137,Java Technologies
javacard,38,Java Technologies
jndi,4,Java Technologies
yii,72878,Web Frameworks
django,151425,Web Frameworks
spring,64775,Web Frameworks
rails,200682,Web Frameworks
laravel,19264,Web Frameworks
grails,8597,Web Frameworks
node.js,155379,Web Frameworks
drupal,51103,Web Frameworks
symfony,22049,Web Frameworks
tornado,15635,Web Frameworks
cakephp,89714,Web Frameworks
pyramid,16091,Web Frameworks
csla,1222,Web Frameworks
pylons,1004,Web Frameworks
poco,2741,Web Frameworks
meteor,56058,Web Frameworks
zk,10687,Web Frameworks
typo3,17832,Web Frameworks
sinatra,36931,Web Frameworks
zend,39153,Web Frameworks
silverstripe,21525,Web Frameworks
fuelphp,5275,Web Frameworks
mason,162,Web Frameworks
codeigniter,15596,Web Frameworks
web2py,5773,Web Frameworks
flask,13720,Web Frameworks
tactic,111,Web Frameworks
lithium,13978,Web Frameworks
fat-free,1092,Web Frameworks
vaadin,2982,Web Frameworks
appfuse,489,Web Frameworks
puremvc,2046,Web Frameworks
qooxdoo,6717,Web Frameworks
catalyst,894,Web Frameworks
wakanda,350,Web Frameworks
flex,1239,Web Frameworks
seagull,73,Web Frameworks
lift,1795,Web Frameworks
nancy,9181,Web Frameworks
turbogears,870,Web Frameworks
cherrypy,685,Web Frameworks
ramaze,1146,Web Frameworks
openrasta,174,Web Frameworks
zope,928,Web Frameworks
sproutcore,1098,Web Frameworks
mojolicious,481,Web Frameworks
wt,1134,Web Frameworks
grok,251,Web Frameworks
camping,62,Web Frameworks
compojure,21,Web Frameworks
bottle,1065,Web Frameworks
stripes,199,Web Frameworks
opa,301,Web Frameworks
webwork,120,Web Frameworks
appflower,224,Web Frameworks
merb,312,Web Frameworks
aida,78,Web Frameworks
kepler,70,Web Frameworks
yesod,132,Web Frameworks
fw,349,Web Frameworks
wavemaker,22,Web Frameworks
phpixie,140,Web Frameworks
dancer,12,Web Frameworks
tntnet,22,Web Frameworks
ocsigen,58,Web Frameworks
smartclient,7,Web Frameworks
prado,20,Web Frameworks
itsnat,100,Web Frameworks
bfc,14,Web Frameworks
scalatra,31,Web Frameworks
openlaszlo,2,Web Frameworks
cppcms,7,Web Frameworks
kajona,14,Web Frameworks
rife,36,Web Frameworks
monorail,4,Web Frameworks
pyjamas,7,Web Frameworks
agavi,6,Web Frameworks
coldbox,7,Web Frameworks
openxava,7,Web Frameworks
jvx,9,Web Frameworks
ontap,2,Web Frameworks
webobjects,5,Web Frameworks
smartgwt,4,Web Frameworks
